YCSB_KEY,field0,field1,field2
user1763,2020-05-05,TSLA,close short another world pain
user1764,2020-05-05,NVDA,game baby looking buy call tomorrow morning post exact entry
user1765,2020-05-05,TSLA,market suddenly dropped min pm unbelievable bear disgusting ugly creature
user1766,2020-05-06,TSLA,strong correlation tsla tvix tvix go tesla go up today tesla go up
user1767,2020-05-06,TSLA,haha guess elons mouth stop stock bouncing back
user1768,2020-05-06,AMZN,key big volume coming cross
user1769,2020-05-06,TSLA,short trying real hard crash market lmaooooooo market dominated bull
user1770,2020-05-06,TSLA,schmore cost basis
user1771,2020-05-06,TSLA,happens volatile stock go sleep
user1772,2020-05-06,AAPL,rum life bear oh humanity
user1773,2020-05-07,TSLA,much apparent crash factory closed daysthese bear never learn
user1774,2020-05-07,TSLA,neuronet ai mimic human tesla yea dig that ai future an aircraft fly like bird wing lift same
user1775,2020-05-07,TSLA,forward split cyborgbabynaming lunatic
user1776,2020-05-07,TSLA,sold today look entry previous buy dont think ill see
user1777,2020-05-07,NFLX,seems like netflix positive next earnings looking forward adding get
user1778,2020-05-08,TSLA,production shutdown around world battery man battery game changer
user1779,2020-05-08,TSLA,lol people think virus cause cure problem
user1780,2020-05-08,TSLA,super bullish hit unemployment tesla government buy model s people instead check
user1781,2020-05-08,TSLA,another position short california say fast elon
user1782,2020-05-08,TSLA,bull give drop
user1783,2020-05-08,TSLA,ceo say price high it still going higher biggest cult following ive ever seen itll probably pump s though brought back reality
user1784,2020-05-08,AAPL,apple doesnt fall far nasdaq
user1785,2020-05-08,TSLA,genius billionaire never make mistake even shrom
user1786,2020-05-08,TSLA,strong close indeed
user1787,2020-05-08,AAPL,haha guess held weekly call from monday close instead selling thurs buying stock divvy
user1788,2020-05-11,AAPL,bear now yall loud weekend yall quiet
user1789,2020-05-11,TSLA,hahahaaaelon goin jail tonight
user1790,2020-05-11,TSLA,bullish
user1791,2020-05-11,TSLA,desperation brings worst folk
user1792,2020-05-11,TSLA,i bought tesla time high
user1793,2020-05-11,TSLA,elon tried tell everyone get stock plummet knew going go nuclear
user1794,2020-05-12,TSLA,tesla employee really reppin product
user1795,2020-05-12,TSLA,crash didnt happen today fed supporter money propped up however situation going get worse tomorrow dont illusion tomorrow red day brings hefty green day true tesla landslide tomorrow
user1796,2020-05-12,AAPL,alert bto aapl c market open pt june
user1797,2020-05-12,TSLA,dont go anywhere bull want see bullish post open
user1798,2020-05-12,TSLA,pump trash facci testifies let everything tank
user1799,2020-05-12,TSLA,musk dare authority arrest him it wayhes sa trash way overvalued
user1800,2020-05-12,TSLA,best performing industrial stock town hold strong long
user1801,2020-05-12,TSLA,remember ceo straight told share price high
user1802,2020-05-12,TSLA,hahahahaha president back stock fall bad news make go up good news
user1803,2020-05-12,AAPL,support
user1804,2020-05-12,AAPL,apple put paid steak dinner reopen
user1805,2020-05-12,TSLA,tesla bull believe every production date target etc fearless leader tell them yet warns stock price high write off think big bank heard loud clear timber
user1806,2020-05-13,TSLA,longs making loud clear support lawbreaker diseasespreading share dont lose value
user1807,2020-05-13,TSLA,say tomorrow wonder
user1808,2020-05-13,AAPL,lol short cover scooped put
user1809,2020-05-13,AAPL,someone fking explain move
user1810,2020-05-13,AAPL,normal day without fed interfering
user1811,2020-05-13,TSLA,it sale jesus anyone understand term valuation stock currently overpriced folk dare jump right bet regret it
user1812,2020-05-13,AAPL,heart go bull
user1813,2020-05-13,TSLA,even elon musk think stock overvalued
user1814,2020-05-13,TSLA,price high imo
user1815,2020-05-13,TSLA,stock market longs scream moon stock going down thanks money today tothe moon
user1816,2020-05-13,TSLA,wait there battery day soon wall street trapping every bull thought stock market jus going keep rising again overvalued market decade wake up
user1817,2020-05-13,TSLA,see drop tomorrow
user1818,2020-05-13,TSLA,think buy tesla profit anyone selling
user1819,2020-05-13,NFLX,netflix holding strong af bearish market mad respect
user1820,2020-05-13,TSLA,wow give bull here still pushing up
user1821,2020-05-13,TSLA,holding put still blood
user1822,2020-05-14,NVDA,sub coming near future
user1823,2020-05-14,TSLA,bull trap fully set rip longs
user1824,2020-05-14,TSLA,bad need flush get rid froth global pandemic
user1825,2020-05-14,AAPL,say good bye s today
user1826,2020-05-14,AAPL,first red day thursday wow isnt satisfying
user1827,2020-05-14,TSLA,fast bn market cap evaporate
user1828,2020-05-14,TSLA,""
user1829,2020-05-14,NVDA,come bear push fucker
user1830,2020-05-14,TSLA,insider literally selling many share ceo said price high yet bull still saying
user1831,2020-05-14,AAPL,hmm company entire chinese supply chain time sabre rattling china possibly go wrong
user1832,2020-05-14,TSLA,bought put decided shoot swear wild
user1833,2020-05-14,TSLA,economy outlook bleak ceo said overvaluedwonder currently buying
user1834,2020-05-14,TSLA,barely turn green bull get excited
user1835,2020-05-14,TSLA,cause feeling going tomorrow look monday elon correct price high
user1836,2020-05-14,TSLA,bull trap find shortly
user1837,2020-05-14,AAPL,alerted vbiv poof
user1838,2020-05-14,TSLA,buy more bought extra share look like gonna cheapest get make announcement battery day date
user1839,2020-05-15,TSLA,bear hilarious better hope economy tank else tsla taking money
user1840,2020-05-15,AAPL,fed plunge protection stock buy back gonna wild ride today
user1841,2020-05-15,TSLA,many put holder got rich answer
user1842,2020-05-15,AAPL,keep loading put
user1843,2020-05-15,AAPL,next week see
user1844,2020-05-16,NVDA,breakout day chart see next week
user1845,2020-05-16,AAPL,dip hard eye china
user1846,2020-05-16,TSLA,hear cash burning
user1847,2020-05-18,AAPL,taking little breather next leg
user1848,2020-05-19,TSLA,nobody right mind sell company company survive crash anything people dump money stock
user1849,2020-05-19,NFLX,peak go anytime go s less anytime soon good app definable overrated stock
user1850,2020-05-19,TSLA,noise see today
user1851,2020-05-19,TSLA,hedge fund buying huge amount call expiration battery day coming
user1852,2020-05-19,AMZN,think well hit
user1853,2020-05-19,NVDA,ride momentum stop thinking much
user1854,2020-05-19,TSLA,piece friday load put
user1855,2020-05-20,AAPL,looking correction double top shooting star im bearish well see happens week there divergence though
user1856,2020-05-20,TSLA,dont worry guy im bear this itll going up trade ive lost recently
user1857,2020-05-20,TSLA,another pump dump im sure bull continue hold case thing moon reason
user1858,2020-05-20,AAPL,good pop sorry dump take long
user1859,2020-05-20,NFLX,uh oh wake bear bout take
user1860,2020-05-20,TSLA,nasdaq reason anything green
user1861,2020-05-20,TSLA,short closed k profit holding june put eod deep pull back
user1862,2020-05-20,AMZN,is amzn hit first time ever close too
user1863,2020-05-20,AMZN,happy got
user1864,2020-05-21,TSLA,due split
user1865,2020-05-21,NFLX,sell call loss already
user1866,2020-05-21,AAPL,still holding call since last friday
user1867,2020-05-21,TSLA,sold first call bought first put hedge call swing position nicely pop
user1868,2020-05-21,TSLA,bought dip
user1869,2020-05-21,AAPL,hoping close today
user1870,2020-05-21,NVDA,move huuugggeee run earnings
user1871,2020-05-21,NVDA,pre earnings run money made priced
user1872,2020-05-21,AMZN,move going stop sre
user1873,2020-05-22,TSLA,alright bear feeling today
user1874,2020-05-22,TSLA,tesla like apple year ago morgan stanley say business insider
user1875,2020-05-22,NVDA,early dump one last squeeze fall cliff hr b close not o well still made money week
user1876,2020-05-22,TSLA,ready going close green
user1877,2020-05-22,NVDA,intraday time high time high close
user1878,2020-05-22,TSLA,go low s late july early august hire past three world strongest man winner carry me may dip greedy
user1879,2020-05-23,TSLA,bought put pm today holding weekend like volatility
user1880,2020-05-23,TSLA,tesla still nice stock butyou suck elon imomy stimulus check
user1881,2020-05-25,AAPL,china loved huawei news love this super bullish right
user1882,2020-05-26,AAPL,round today told yall gap pay
user1883,2020-05-26,AAPL,scale alert
user1884,2020-05-26,AAPL,bull saw ath thought payday hilarious
user1885,2020-05-26,NVDA,u guy promised today
user1886,2020-05-27,AAPL,trump hit china sanction week
user1887,2020-05-27,AAPL,ill see guy
user1888,2020-05-27,AMZN,bag weekly put morning friday
user1889,2020-05-27,AAPL,dumping good news china sanction news hit
user1890,2020-05-27,AAPL,congratulation op
user1891,2020-05-27,TSLA,call greedy want one last dip load call launch
user1892,2020-05-27,TSLA,get battery look vehicle grid
user1893,2020-05-27,TSLA,next attempt launch saturday pm pst pm est bought share versus call
user1894,2020-05-27,AAPL,small cap move course apple
user1895,2020-05-28,TSLA,resistance retested often prof bull power bear stubborn enough hold lose capital probably house
user1896,2020-05-28,TSLA,hasnt moved narrow range like since last december im still eyeing breakout range
user1897,2020-05-28,TSLA,wouldnt nice powell press wrong button moment sell etf
user1898,2020-05-28,TSLA,wonder elon start dumping share exercise option hold year put ton money
user1899,2020-05-29,TSLA,po freak out overvalued go higher often want try
user1900,2020-05-29,TSLA,stock even open week
user1901,2020-05-29,NFLX,yup im ready
user1902,2020-05-29,TSLA,anyone know wen upcoming batrey day
user1903,2020-05-30,TSLA,tesla paid groovy hot tub thanks elon
user1904,2020-05-30,TSLA,""
user1905,2020-05-30,TSLA,glad held looking gap monday
user1906,2020-05-30,TSLA,call always good play bull out
user1907,2020-05-30,AAPL,super cycle done fam
user1908,2020-05-30,TSLA,right back august th
user1909,2020-05-30,TSLA,congratulation beautiful launch k monday
user1910,2020-05-30,TSLA,today monday
user1911,2020-05-30,TSLA,spacex launch incredible watch looking forward future united state america
user1912,2020-06-01,AAPL,well rested ready run
user1913,2020-06-01,AAPL,news dropped schultz acquisition merging clever leaf cannabis company bringing public get warrant theyre low ticker sama
user1914,2020-06-01,TSLA,man stop fighting let riiiiiide week
user1915,2020-06-01,TSLA,ok short turd next scamdemic able cover share
user1916,2020-06-01,TSLA,called close enough
user1917,2020-06-01,TSLA,who arguing yesterday bear saying open
user1918,2020-06-02,TSLA,""
user1919,2020-06-02,TSLA,crazy tweet elon while must disappointed
user1920,2020-06-02,AMZN,sell high buy low rinse repeat
user1921,2020-06-02,TSLA,dont hear negative noisy see within one week
user1922,2020-06-02,TSLA,people trying best hold
user1923,2020-06-02,NFLX,patience waiting squeeze dont fail
user1924,2020-06-02,AMZN,high price stock expect bigger move up flat nonsense stock split nice
user1925,2020-06-02,TSLA,might see green never know
user1926,2020-06-02,TSLA,let go green time baby
user1927,2020-06-02,TSLA,sorry going down
user1928,2020-06-03,TSLA,fighting hold green butbots looming tired
user1929,2020-06-03,TSLA,watching paint dry movie how kill option
user1930,2020-06-03,TSLA,going take big dookie
user1931,2020-06-04,TSLA,new software update stop red light stop sign week loving much
user1932,2020-06-04,TSLA,sniper need drone destroy them
user1933,2020-06-04,AMZN,going close real strong
user1934,2020-06-04,TSLA,short grill time come soon
user1935,2020-06-04,AAPL,break even expires tomorrow ill sleep lotto ticket cook morning sir right
user1936,2020-06-04,TSLA,put printed return drip lol
user1937,2020-06-05,TSLA,battery day cancelled lol gl bull
user1938,2020-06-05,AAPL,epic drop gonna hold put hehehe
user1939,2020-06-08,AAPL,buy buy buyto anada time high
user1940,2020-06-08,TSLA,look good chance clinch week
user1941,2020-06-09,TSLA,ron baron tomorrow stay tuned everyone
user1942,2020-06-09,TSLA,easily ath tomorrow probably gonna run k due barron speaking possible battery day news get fomo
user1943,2020-06-09,TSLA,calm storm hold bear one going hurt even
user1944,2020-06-09,TSLA,god bless ron baron pumpaholic interview
user1945,2020-06-09,TSLA,def want push k
user1946,2020-06-09,AMZN,wow retail store closing next month wonder benefit
user1947,2020-06-09,AAPL,never understood people short high quality stock bull market
user1948,2020-06-09,TSLA,looking retest ath retest
user1949,2020-06-09,TSLA,dip little buy more
user1950,2020-06-09,TSLA,dont worry elon fanboys gap tomorrow hope bought dip
user1951,2020-06-09,TSLA,it hit proverbial brick wall
user1952,2020-06-10,AAPL,moment truth tomorrow boy girl let hit
user1953,2020-06-10,TSLA,waiting elon open mouth
user1954,2020-06-10,TSLA,close retest eow
user1955,2020-06-10,AMZN,perfect setup squeeze hold tight
user1956,2020-06-10,TSLA,bear pain next week split
user1957,2020-06-10,TSLA,tsla put still
user1958,2020-06-10,TSLA,got call yesterday sold right open today dang it holding put next friday expiration
user1959,2020-06-10,TSLA,going many sl going trigger
user1960,2020-06-10,TSLA,great make grip today wont able sleep watching future
user1961,2020-06-10,TSLA,beginning
user1962,2020-06-11,TSLA,people still bearish this bear delusional
user1963,2020-06-11,AAPL,dont surprised go green
user1964,2020-06-11,TSLA,dip getting bought like hot cake
user1965,2020-06-11,AAPL,hold leg fueled bear
user1966,2020-06-11,TSLA,but future limit down
user1967,2020-06-11,TSLA,back range eod picked share
user1968,2020-06-11,TSLA,held put tomorrow gonna looong morning
user1969,2020-06-11,AMZN,bought put expiring tomorrow went said fk bought added put next friday feeling blessed right now
user1970,2020-06-11,TSLA,elon pump moon
user1971,2020-06-11,TSLA,didnt sell tesla today tomorrow cry second wave crisis begun see couple week good luck all
user1972,2020-06-12,TSLA,bull celebrating gained hour
user1973,2020-06-12,TSLA,im stink bear want open
user1974,2020-06-12,TSLA,tomorrow market bleed more time load up
user1975,2020-06-12,AAPL,ill cash yall bull morning lol yall giddy future tonight
user1976,2020-06-12,AAPL,look like shortage robinhooders wanting bagholders
user1977,2020-06-12,TSLA,valued company manipulated stock
user1978,2020-06-12,TSLA,telling bull since wednesday night take profit
user1979,2020-06-12,AAPL,ai ai ai going cool bit
user1980,2020-06-12,TSLA,oh man moment realize scamming pump dump
user1981,2020-06-12,TSLA,bull try save tesla
user1982,2020-06-12,TSLA,seems good omen downgrade news bull retreating bear marching on
user1983,2020-06-12,AAPL,shorting im back caught sloped
user1984,2020-06-12,AAPL,put serious printing low go
user1985,2020-06-12,TSLA,tesla bull blind reality investor exist valuation stratosphere reality co grave financial issue collapsing demand product
user1986,2020-06-12,TSLA,love u bull boosted price pig someone upgrade price u cant take sentiment finally fall keep taking medicine u feeding everyone else see feel
user1987,2020-06-12,TSLA,drop another please put actually worth something please god beg you
user1988,2020-06-12,TSLA,lower high lower low downtrend still tact big time bear control
user1989,2020-06-12,TSLA,millennials zoomers buy stock cant afford car
user1990,2020-06-12,AAPL,wonder buy dipper broke
user1991,2020-06-12,TSLA,elon pump this
user1992,2020-06-12,TSLA,lol remember bull bragging buying call
user1993,2020-06-12,TSLA,under closing monday open
user1994,2020-06-12,TSLA,haha took ponzi nikola take down great
user1995,2020-06-12,AMZN,worth slowest shipping planet pure trash
user1996,2020-06-12,TSLA,big boy called value going buy retail timber
user1997,2020-06-13,TSLA,didnt get out lose lot
user1998,2020-06-13,TSLA,the mm held down they suppressed price people get in insider trading all dumb permabull logic drop dollar hour weekend great one everyone
user1999,2020-06-13,TSLA,fan daddy musk permsbulls know company musk lol pump pump use head people buy stock run company know shy dont
user2000,2020-06-13,TSLA,oh yes yes demand strong supply
user2001,2020-06-15,AAPL,espn say get past give market good rogering
user2002,2020-06-16,TSLA,ahhh fook took large long position able sleep tonight
user2003,2020-06-16,TSLA,overvalued yes said let rip tomorrow week
user2004,2020-06-16,AMZN,let take back s
user2005,2020-06-16,TSLA,time high bill
user2006,2020-06-16,TSLA,last chance buy moon
user2007,2020-06-17,TSLA,dutch carsales may
user2008,2020-06-17,TSLA,right bull laughing u month theyll cry
user2009,2020-06-17,AAPL,new edge edge imac coming next week
user2010,2020-06-17,AMZN,picked dt potential swinglets go
user2011,2020-06-17,TSLA,going even though car sale
user2012,2020-06-17,TSLA,market start wave get now case
user2013,2020-06-17,TSLA,next dump deck
user2014,2020-06-17,TSLA,love everyone fall every single week
user2015,2020-06-17,AAPL,hold lad long term material right here
user2016,2020-06-17,AAPL,picked put pig due pullback
user2017,2020-06-17,AAPL,sinking accumulating
user2018,2020-06-17,AAPL,insert joker you get deserve meme
user2019,2020-06-18,TSLA,yes yes put ill one selling them
user2020,2020-06-18,TSLA,get model model x
user2021,2020-06-18,TSLA,taking short woodshed
user2022,2020-06-18,TSLA,get downgraded reason dops get upgraded barely go
user2023,2020-06-18,AAPL,upgraded unload same show different day need retest minimum worst quarter history comingbut priced guess
user2024,2020-06-18,TSLA,king hill world
user2025,2020-06-18,AAPL,thank later exit call save hard earned dollar big dump progress
user2026,2020-06-18,TSLA,fun dropped couple grand s expiring tomorrow haha
user2027,2020-06-18,AAPL,alert area paying oh well
user2028,2020-06-18,TSLA,call fail
user2029,2020-06-18,AAPL,there stock world bear embarrassed even enter roomthis
user2030,2020-06-18,TSLA,gap open
user2031,2020-06-19,TSLA,still bear here
user2032,2020-06-19,TSLA,unless im going get excited today monday
user2033,2020-06-19,AAPL,rich fool there steve job congratulation
user2034,2020-06-19,AAPL,even go apple store except teen age kid browsing
user2035,2020-06-19,TSLA,inflated bullish since earning s way overdone think see within year repost whether im wrong right
user2036,2020-06-19,AAPL,bull thanks money
user2037,2020-06-19,AAPL,k share sold eod put buyer yall
user2038,2020-06-19,AAPL,come monday
user2039,2020-06-20,TSLA,cant wait
user2040,2020-06-20,AAPL,bear
user2041,2020-06-21,AAPL,tell solid reason going next week
user2042,2020-06-22,AAPL,fking hundred
user2043,2020-06-22,AAPL,fight it er
user2044,2020-06-23,AAPL,trend friend pt
user2045,2020-06-23,TSLA,much getting good night sleep im excited morning cant complain though
user2046,2020-06-23,AAPL,one last time please consider adding long term position here lift commenced
user2047,2020-06-23,TSLA,need turn
user2048,2020-06-23,TSLA,bleeding less realize stock less month ago right smh
user2049,2020-06-23,AAPL,feel bad miss tmm
user2050,2020-06-23,TSLA,sell today buy next week thank later gl
user2051,2020-06-23,AAPL,expect week dollar trend
user2052,2020-06-24,AAPL,think ready another upgrade today
user2053,2020-06-24,AAPL,jesus bear full attack mode panicking
user2054,2020-06-24,AAPL,got dip yesterday u didnt buy next week up closer earnings get call push ignore bear
user2055,2020-06-24,TSLA,love
user2056,2020-06-24,AAPL,bought long term position
user2057,2020-06-24,AMZN,thanks buying out earlier bear
user2058,2020-06-24,TSLA,jd power survey funded detroit auto company failed adapt last year
user2059,2020-06-25,TSLA,wish couldve seen bull face am heartbreaking
user2060,2020-06-25,TSLA,took yesterday sign thing come
user2061,2020-06-25,AAPL,new upgrade every day two week straightwith nothing uncertainty behind aheadcall b pure manipulation
user2062,2020-06-25,TSLA,jus dont think tesla worth rn
user2063,2020-06-25,TSLA,dear god please let go hundred dollar soon thank you amen
user2064,2020-06-25,TSLA,it over told sell hour playing time tsla bull
user2065,2020-06-25,TSLA,let get triple top real quick
user2066,2020-06-25,AAPL,bad news might well sell pension fund
user2067,2020-06-25,AAPL,oh goody corona shutting state apple store let buy stock
user2068,2020-06-25,TSLA,""
user2069,2020-06-25,TSLA,bear morning trump fool got fired
user2070,2020-06-26,TSLA,wanna thank everyone involved today trade wrapped nice money today kept table tomm good job bull really rocked ask
user2071,2020-06-26,AMZN,amazon buy selfdriving technology company zoox
user2072,2020-06-26,AAPL,glad sold call yesterday close ugly apple dip dont last long time right big watching august call real closely right perfect buy opportunity around today
user2073,2020-06-26,TSLA,hoping tesla number get u sp next week
user2074,2020-06-26,TSLA,strong stock like amd facebook microsoft apple extremely low exposure covid getting slaughtered today people hopium think heading higher even creator elon musk say overpriced
user2075,2020-06-26,AAPL,pull
user2076,2020-06-27,TSLA,last correction feb went test sma weekly within week sma around range saying
user2077,2020-06-27,AAPL,caught bagwhat congrats sucker
user2078,2020-06-29,AAPL,delisted next week apple never sell another phone every again lol notttttttttttt
user2079,2020-06-29,AAPL,forget second wave number dont lie stock end july
user2080,2020-06-30,TSLA,break like water
user2081,2020-06-30,AAPL,tomorrow baby show green
user2082,2020-06-30,AAPL,fckn east today squeeze short
user2083,2020-06-30,AAPL,filling he gapthen next
user2084,2020-06-30,AMZN,please stay thursday
user2085,2020-06-30,TSLA,stalled yet buy
user2086,2020-06-30,TSLA,lotto call stock literally printing money
user2087,2020-06-30,TSLA,think im gonna sick
user2088,2020-06-30,AAPL,sec mnuchin wearing mask considered bullish
user2089,2020-06-30,TSLA,wish money buy tsla share
user2090,2020-06-30,TSLA,""
user2091,2020-06-30,AAPL,use good power hour close nice
user2092,2020-06-30,TSLA,gap tomorrow obvious
user2093,2020-06-30,TSLA,opening fasho putos
user2094,2020-07-01,AMZN,company might reach k per share feel good vibe amazon
user2095,2020-07-01,TSLA,told bear earlier reckt open lol bet listen
user2096,2020-07-01,TSLA,revised game plan still holding
user2097,2020-07-01,TSLA,dow jones taking beating one let replace exon tesla get sp too
user2098,2020-07-01,AMZN,followed rule sold long shot call morning gain printed gee willikers guess gain gain wow
user2099,2020-07-01,AMZN,incredible got weekly call throw away money sold x hour later stock incredible
user2100,2020-07-02,NFLX,hit earnings sure why cause lol it going like
user2101,2020-07-02,AMZN,super bullish push k soon
user2102,2020-07-02,NFLX,anyone see problem here
user2103,2020-07-02,TSLA,bear dont jump front spacex rocket unless want go moon squeeze continues tomorrow
user2104,2020-07-02,TSLA,lot care bear today warning bull
user2105,2020-07-02,TSLA,call look fantastic
user2106,2020-07-02,TSLA,like that prayer answered
user2107,2020-07-02,TSLA,let see put loss
user2108,2020-07-02,TSLA,dont burp charlie whatever do dont burp
user2109,2020-07-02,TSLA,finally picked right day hold tsla fds overnight jah bless
user2110,2020-07-02,AMZN,resistance level play today n
user2111,2020-07-02,TSLA,continues move higher like ive talking about
user2112,2020-07-02,AMZN,anyone else buy call yesterday close
user2113,2020-07-02,TSLA,volume really low too
user2114,2020-07-02,AMZN,it late join u next stop beyond
user2115,2020-07-02,AAPL,i love dipps welcome bull trap
user2116,2020-07-02,TSLA,hate stock end month
user2117,2020-07-02,AMZN,dont understand bear trying keep youre fighting strongest company world good luck
user2118,2020-07-02,TSLA,take profit guy get ready weekend bbq
user2119,2020-07-02,TSLA,short getting burnt placed small k bet end month
user2120,2020-07-02,TSLA,boring day minus gap up
user2121,2020-07-03,TSLA,david einhorn trying buy mets baseball team brother
user2122,2020-07-03,TSLA,let run
user2123,2020-07-06,TSLA,please drop buy more
user2124,2020-07-06,TSLA,giving flashback bitcoin run
user2125,2020-07-06,TSLA,tomorrow pre market crazy
user2126,2020-07-06,TSLA,lol never buy put close
user2127,2020-07-06,TSLA,gonna buy
user2128,2020-07-06,TSLA,bull never loose put in short seller hand well say hope hedged short
user2129,2020-07-06,TSLA,great run
user2130,2020-07-06,TSLA,robert batman crew short
user2131,2020-07-06,TSLA,damn missed another k profit exiting position around oh well make holding volatility since
user2132,2020-07-06,TSLA,u sxy short sxy shortsu sxy
user2133,2020-07-07,TSLA,keep shorting bear go q earnings report
user2134,2020-07-07,TSLA,sure go here dam made good money today
user2135,2020-07-07,TSLA,wonder happened people nikola comparing tsla
user2136,2020-07-07,TSLA,lol chinese trying hard clam bull
user2137,2020-07-07,AMZN,ask bezos good investment
user2138,2020-07-07,TSLA,new short get wiped
user2139,2020-07-07,AMZN,hard believe jeff successfully achieves drone delivery he mentioned plan earlier it game over
user2140,2020-07-07,TSLA,sold made enuf coin up only good down letme cal carguy
user2141,2020-07-07,TSLA,good close bull defend run listening fear pollution feed revolving cub news earnings deckstay focused
user2142,2020-07-08,AMZN,let let horse graze bit everyones gunna nice full belly way obviously way back
user2143,2020-07-08,TSLA,""
user2144,2020-07-08,TSLA,testing last time see ya bearches waiting see again
user2145,2020-07-08,AAPL,take aapl bull serious right now vibe
user2146,2020-07-08,TSLA,spacex launch rocket
user2147,2020-07-08,AAPL,got nice kate spade bag lmfao
user2148,2020-07-08,AMZN,next leg coming
user2149,2020-07-08,AAPL,week high time go high
user2150,2020-07-08,AAPL,china rhetoric coming negative
user2151,2020-07-08,AAPL,pretty impressed ole gal able stay today still short term pullback bearish hopefully afternoon go like yesterday afternoon
user2152,2020-07-08,TSLA,buy dip load call earnings
user2153,2020-07-08,AAPL,one saw huge k share block
user2154,2020-07-08,NFLX,position funny drop like rock er
user2155,2020-07-08,TSLA,held put pray fellow bear
user2156,2020-07-08,TSLA,tomorrow see big short
user2157,2020-07-08,TSLA,strategist see downside coming day let see it week next
user2158,2020-07-08,TSLA,bull really understand overbought is
user2159,2020-07-08,TSLA,theta annihilation front week outermost column net chg show option price change yesterday close every call loser
user2160,2020-07-09,TSLA,need drop hate bear
user2161,2020-07-09,TSLA,want bullish crazy keep getting rejected fomo keeping up need healthy pullback ppl buy need healthy dip
user2162,2020-07-09,TSLA,predicted parabolic curve next day approx go current price thank later
user2163,2020-07-09,TSLA,""
user2164,2020-07-09,AAPL,ready another upgrade morning
user2165,2020-07-09,TSLA,stock actually reach low like s wed go thursday even s s weekly call option premium look like one expiring tomorrow yikes
user2166,2020-07-09,AAPL,still laughing last year ppl said it going
user2167,2020-07-09,TSLA,setting another red candle stuck fibonacci see s today
user2168,2020-07-09,TSLA,massive drop better bail guy
user2169,2020-07-09,TSLA,okay bought raise hand
user2170,2020-07-09,TSLA,failed high next week
user2171,2020-07-09,TSLA,tesla written text book example irrational market behave
user2172,2020-07-09,TSLA,bubble gonna pop like balloon
user2173,2020-07-09,TSLA,need take put
user2174,2020-07-09,TSLA,stock drop much faster go up
user2175,2020-07-09,TSLA,bull fighting dear life
user2176,2020-07-09,TSLA,fed print fast enough huge downside
user2177,2020-07-09,TSLA,day trade stock year
user2178,2020-07-09,TSLA,bull still living bubble shorted again
user2179,2020-07-09,TSLA,may dance
user2180,2020-07-09,AMZN,nasdaq crazy
user2181,2020-07-09,NVDA,putting limit buy order in buying penny bellow
user2182,2020-07-09,TSLA,biden want raise corporate tax rate
user2183,2020-07-10,AMZN,route k loading up
user2184,2020-07-10,TSLA,sooo post profit quarter sp omg
user2185,2020-07-10,TSLA,big green premarket heavy run market opensvery goodnight
user2186,2020-07-10,TSLA,elon compete someone
user2187,2020-07-10,TSLA,red green today green day
user2188,2020-07-10,AMZN,short term ptits sale buy today
user2189,2020-07-10,AMZN,literally waiting analyst upgrade this go
user2190,2020-07-10,NFLX,freaking called many time yesterday thank pppl
user2191,2020-07-10,TSLA,people realize beat elon coming hot
user2192,2020-07-10,TSLA,bought call
user2193,2020-07-10,TSLA,ayeeee prez bought remdisivir dirt cheap good sign america able distribute low cost solid move wh sustainability money battery come
user2194,2020-07-10,TSLA,im watching tsla you monster you
user2195,2020-07-10,TSLA,big ev deal florida
user2196,2020-07-10,TSLA,jfc gapped up almost feel bad bear now almost
user2197,2020-07-10,TSLA,imagin battery day
user2198,2020-07-10,TSLA,quick flip today expiration net less minute lol
user2199,2020-07-10,TSLA,k volume weekly call
user2200,2020-07-10,TSLA,reported profit sp baby let keep flowing
user2201,2020-07-10,TSLA,booooom booooom one buying call next week
user2202,2020-07-10,TSLA,today take
user2203,2020-07-10,TSLA,bear dare try monday
user2204,2020-07-10,NFLX,nflx amazing freaking trade run earnings trade here call currently high gain got paid well
user2205,2020-07-11,TSLA,getting warmed ahead next week
user2206,2020-07-11,TSLA,im trying understand stock market better thing work make tesla go crazy like today surely it people buying stock like crazy thanks insight
user2207,2020-07-11,AAPL,compared tesla apple sp way undervalued waiting iphone max pro plus easily
user2208,2020-07-11,TSLA,blame share price rh half share owned institution lol wouldnt fault
user2209,2020-07-11,TSLA,thats light flex im starting like warren person he annoying
user2210,2020-07-13,TSLA,dont always short stock make gain
user2211,2020-07-13,TSLA,whoever bought go china
user2212,2020-07-13,TSLA,shorted call spread credit lol
user2213,2020-07-13,TSLA,wow slightly red turned blood bath matter time especially considering tesla operates cali reversed reopening process
user2214,2020-07-13,TSLA,waiting one person who going cry tesla oversold
user2215,2020-07-13,TSLA,know what bull margin call
user2216,2020-07-13,TSLA,great bloated like this easiest short
user2217,2020-07-13,TSLA,see s
user2218,2020-07-13,TSLA,else mad didnt short
user2219,2020-07-13,AAPL,perfect storm overvalued overrated overhyped overbought lol
user2220,2020-07-13,TSLA,am come
user2221,2020-07-13,TSLA,exact characteristic penny stock market cap billion
user2222,2020-07-13,TSLA,wait rug pull tomorrow
user2223,2020-07-13,TSLA,bought many bagholders today
user2224,2020-07-13,TSLA,wooooo bottom
user2225,2020-07-13,TSLA,pt drop week awaits
user2226,2020-07-13,TSLA,momo stock plunge
user2227,2020-07-13,TSLA,who hero buy today want salute
